income,income_cents,zorgtoeslag,zorgtoeslag_eligible,huurtoeslag,huurtoeslag_eligible,bijstand,bijstand_eligible,tax,tax_credits,disposable_income,marginal_rate_zorgtoeslag,marginal_rate_huurtoeslag,marginal_rate_bijstand,marginal_rate_tax,marginal_rate_tax_credits,marginal_rate_total
27100.0,2710000,133.18166666666667,True,0.0,True,0.0,False,2600.01,7408.02,2174.8475000000003,-0.15833333333333144,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666696
27200.0,2720000,133.02416666666667,True,0.0,True,0.0,False,2643.51,7401.45,2179.398333333333,-0.15749999999999886,0.0,0.0,43.5,-6.5700000000006185,36.77249999999938
27300.0,2730000,132.86583333333334,True,0.0,True,0.0,False,2687.02,7394.87,2183.9474999999998,-0.15833333333333144,0.0,0.0,43.50999999999976,-6.579999999999927,36.771666666666505
27400.0,2740000,132.70833333333334,True,0.0,True,0.0,False,2730.53,7388.29,2188.4975000000004,-0.15749999999999886,0.0,0.0,43.51000000000022,-6.579999999999927,36.77250000000029
27500.0,2750000,132.54999999999998,True,0.0,True,0.0,False,2774.04,7381.71,2193.0466666666666,-0.15833333333335986,0.0,0.0,43.50999999999976,-6.579999999999927,36.771666666666476
27600.0,2760000,132.39166666666668,True,0.0,True,0.0,False,2817.55,7375.13,2197.5958333333333,-0.15833333333330302,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666699
27700.0,2770000,132.23416666666665,True,0.0,True,0.0,False,2861.05,7368.56,2202.146666666667,-0.15750000000002728,0.0,0.0,43.5,-6.569999999999709,36.772500000000264
27800.0,2780000,132.07583333333335,True,0.0,True,0.0,False,2904.56,7361.98,2206.695833333333,-0.15833333333330302,0.0,0.0,43.50999999999976,-6.580000000000837,36.771666666665624
27900.0,2790000,131.91833333333332,True,0.0,True,0.0,False,2948.07,7355.4,2211.2458333333334,-0.15750000000002728,0.0,0.0,43.51000000000022,-6.579999999999927,36.772500000000264
28000.0,2800000,131.76,True,0.0,True,0.0,False,2991.58,7348.82,2215.795,-0.15833333333333144,0.0,0.0,43.50999999999976,-6.579999999999927,36.771666666666505
28100.0,2810000,131.60166666666666,True,0.0,True,0.0,False,3035.09,7342.24,2220.3441666666663,-0.15833333333333144,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666696
28200.0,2820000,131.44416666666666,True,0.0,True,0.0,False,3078.59,7335.67,2224.895,-0.15749999999999886,0.0,0.0,43.5,-6.569999999999709,36.77250000000029
28300.0,2830000,131.28583333333333,True,0.0,True,0.0,False,3122.1,7329.09,2229.4441666666667,-0.15833333333333144,0.0,0.0,43.50999999999976,-6.579999999999927,36.771666666666505
28400.0,2840000,131.12833333333333,True,0.0,True,0.0,False,3165.61,7322.51,2233.9941666666664,-0.15749999999999886,0.0,0.0,43.51000000000022,-6.579999999999927,36.77250000000029
28500.0,2850000,130.97,True,0.0,True,0.0,False,3209.12,7315.93,2238.543333333333,-0.15833333333333144,0.0,0.0,43.50999999999976,-6.579999999999927,36.771666666666505
28600.0,2860000,130.81166666666667,True,0.0,True,0.0,False,3252.63,7309.35,2243.0924999999997,-0.15833333333333144,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666696
